SampleNo, C1, C2, C3, C4, C5, T1, T2, T3, T4, T5
1, 4.50035, 3.70734, 13.1023, 3.90432, 12.1985, 33.9949, 50.6854, 34.8225, 46.4013, 40.1867
2, 8.75539, 12.7643, 13.7751, 12.9383, 7.71177, 31.4571, 44.6222, 27.5239, 51.7762, 39.8227
3, 15.115, 11.0494, 8.36675, 3.57559, 12.3055, 43.2444, 34.5018, 30.0862, 46.0936, 33.9571
4, 9.93761, 10.6703, 7.69344, 14.7055, 16.0685, 36.0223, 43.9132, 26.2473, 45.5969, 35.236
5, 12.1978, 14.518, 11.3845, 8.35617, 9.72258, 30.44, 38.0764, 16.094, 45.6036, 32.1054
6, 13.971, 10.2732, 7.90805, 6.25476, 9.72575, 28.8716, 51.474, 30.4357, 48.9844, 35.2753
7, 9.34218, 9.16222, 8.30871, 9.10363, -0.790682, 32.5502, 44.8921, 23.347, 45.3814, 34.7662
8, 9.66028, 12.0909, 10.4136, 7.94163, 1.00936, 36.8466, 43.2816, 17.3072, 46.0636, 29.5882
9, 9.98733, 15.1622, 11.8264, 8.64447, 5.17257, 38.4742, 54.207, 25.5579, 55.4439, 36.5692
10, 14.6854, 10.9954, 9.55915, 11.6333, 7.09235, 39.4213, 40.2481, 26.891, 52.9748, 43.0605
11, 10.035, 9.48788, 6.80514, 15.8965, 6.87184, 41.4381, 40.6197, 20.4686, 46.2214, 27.5397
12, 7.82341, 12.8193, 11.5428, 12.5342, 11.2657, 35.9369, 35.0359, 7.70217, 51.336, 38.325
13, 11.6294, 9.1706, 8.7572, 12.4265, 14.1393, 41.3325, 49.87, 27.403, 48.8024, 35.0175
14, 11.614, 15.9296, 8.84184, 13.0735, 13.7196, 37.5617, 36.3026, 26.9027, 47.8919, 34.7443
15, 5.51439, 5.27678, 11.2681, 8.04106, 6.33196, 43.9064, 33.298, 20.5109, 44.6188, 36.0547
