alpha = 0.16192785

Y = beta_0 + beta_1 X1 X4 X1 X3 X1 + beta_2 X2 X3 X4 X1 X3 + beta_3 X3 X3 X2 X3 X1
    + beta_4 X4 X4 X1 X2 X4

Parameter for Population range: beta_1

0 0 0 0 5.0863786;
0.10238831 0.15779825 0.1295477 0.12545552 4.1387271;
0.19140958 0.15285829 0.23860801 0.14498167 2.4596102;
0.53205234 0.42109765 0.34375291 0.23943447 2.1135793;
0.61797427 0.73245038 0.29613421 0.60937805 3.9742782;
0.78517263 0.49899952 0.43214538 0.51806871 2.408572;
0.6723332 0.44765108 0.40204486 0.72894899 1.4505086;
0.94443491 1.2320344 1.1007514 0.8539727 9.765127;
1.0429299 1.3862292 1.2322851 0.83590056 12.946254;
1.3493166 1.7736302 1.3782985 1.0713133 30.813514;
1.7087647 1.3966713 0.64094685 0.82208691 6.4568235;
0.67056588 1.0908901 1.1759444 0.96973399 10.015336;
1.8606225 1.7561738 0.99928418 2.1454692 29.363834;
1.1369613 2.5323494 2.1799466 1.5698914 126.27154;
1.8716845 2.3571824 1.955722 0.9550505 127.90615;
1.5638995 1.4734387 1.1293908 0.75915186 18.850147;
2.5820059 2.7447182 1.2149592 2.9590576 124.14695;
1.5127518 1.4664672 3.2843459 3.2150848 375.35593;
3.5606504 2.6006889 2.4554723 2.5306493 771.75451;
1.3716858 3.6006343 3.2096727 3.2536739 760.09549
